article,total_qty,total_cost,n_requests,famille,daily_demand,forecast_qty,forecast_cost
Condensateur courant MEDHUB,35.0,10500.0,9,CLIMATISATION,0.03653444676409186,3.288100208768267,986.4300626304802
Accessoires pour la remise en état de système paratonnerre,1.0,10500.0,1,ELECTRICITE,0.0010438413361169101,0.0939457202505219,986.43006263048
Butoires en acier,3.0,10389.0,3,MECANIQUE,0.003131524008350731,0.2818371607515658,976.0020876826724
PEINTURE GLYCEROPHTALIQUE MATE,367.0,10276.0,21,PEINTURE,0.38308977035490605,34.478079331941544,965.3862212943632
cheville  plastique D 10,128.0,10240.0,4,DIVERS,0.1336116910229645,12.025052192066804,962.0041753653443
"Ventouses électromagné tiques de maintien des portillons ""EM 500 G , avec embase""",6.0,10200.0,3,ELECTROMECANIQUE,0.006263048016701462,0.5636743215031316,958.2463465553237
Cable de levage (Diam 7 lg= 41m) Réf : DRH170560,1.0,10200.0,1,ELECTROMECANIQUE,0.0010438413361169101,0.0939457202505219,958.2463465553234
Fourniture de produits de nettoyage escalator,5.0,10000.0,3,DIVERS,0.005219206680584551,0.4697286012526096,939.4572025052192
Boite de réarmement BR100 pour détecteur linéaire (Marque AVS ELECTRONICS),5.0,10000.0,2,INCENDIE,0.005219206680584551,0.4697286012526096,939.4572025052192
"""Fourniture d une venteuse électromagnétique pour porte coupe-feu avec support 12Vcc""",2.0,10000.0,1,INCENDIE,0.0020876826722338203,0.1878914405010438,939.457202505219
Elément filtrant 0280 D010 BN4HC du Filtre de pression,6.0,9900.0,6,HYDRAULIQUE,0.006263048016701462,0.5636743215031316,930.0626304801671
"Boite d alimentation alsw285pfc power supply ""Tecnofire""",1.0,9800.0,1,INCENDIE,0.0010438413361169101,0.0939457202505219,920.6680584551146
centrale incendie Tecnofire 1 boucle avec batteries,1.0,9750.0,1,INCENDIE,0.0010438413361169101,0.0939457202505219,915.9707724425886
Générateur solaire,1.0,9700.0,1,BALISAGE MARITIME,0.0010438413361169101,0.0939457202505219,911.2734864300625
Electrovanne de quai niveleur 24 v AC 31 VA,8.0,9600.0,7,ELECTROMECANIQUE,0.008350730688935281,0.7515657620041752,901.8789144050103
Carte électronique N°3 de commande PAC,1.0,9570.0,1,CLIMATISATION,0.0010438413361169101,0.0939457202505219,899.0605427974946
System de compensation ressort à Axe avec une rainure étirée en acier galvanisé Ø25.4 mm,5.0,9500.0,3,MECANIQUE,0.005219206680584551,0.4697286012526096,892.4843423799583
Etanchiéte monocouche autoprotégée en bitume,21.0,9450.0,3,DIVERS,0.021920668058455117,1.9728601252609606,887.7870563674322
Cylindre de serrure spécial 8CM MEDHUB,63.0,9450.0,5,MENUISERIE,0.06576200417536535,5.918580375782881,887.7870563674321
cable électrique U1000 RO2V 3 x 6mm,150.0,9450.0,2,ELECTRICITE,0.15657620041753653,14.091858037578287,887.7870563674321
Panel LED 60X60 40W 6000K,374.0,9350.0,43,ELECTRICITE,0.3903966597077244,35.135699373695196,878.3924843423799
Batterie M14 135AH,4.0,9200.0,1,ELECTRICITE,0.0041753653444676405,0.3757828810020876,864.3006263048015
Distributeur savon liquide INOX MEDHUB,13.0,9100.0,11,PLOMBERIE,0.013569937369519834,1.221294363256785,854.9060542797495
Cylindre de serrure de condamnation,151.0,9060.0,92,MENUISERIE,0.15762004175365343,14.18580375782881,851.1482254697286
PRO-DIALOG de commande de PAC carrier,1.0,9049.0,1,CLIMATISATION,0.0010438413361169101,0.0939457202505219,850.1148225469727
Fourniture de Lampe cabine.,6.0,9000.0,3,ELECTRICITE,0.006263048016701462,0.5636743215031316,845.5114822546974
HEMPATHANE HS 55610,100.0,9000.0,1,PEINTURE,0.10438413361169102,9.394572025052192,845.5114822546973
Douille E27,163.0,8965.0,49,ELECTRICITE,0.17014613778705637,15.313152400835072,842.2233820459289
DISJONCTEUR 40A COURBE C,28.0,8940.4,2,ELECTRICITE,0.029227557411273485,2.6304801670146136,839.9123173277661
Diffuseur combiné sonore de classe B et lumineux flash rouge pour montage au mur IQ8S RB,6.0,8916.0,1,INCENDIE,0.006263048016701462,0.5636743215031316,837.6200417536535
Cheville en plastique MEDHUB,110.0,8800.0,2,DIVERS,0.11482254697286012,10.33402922755741,826.7223382045928
Peinture de traçage bleu 25KG,8.0,8800.0,3,PEINTURE,0.008350730688935281,0.7515657620041752,826.7223382045928
Colle de revêtement GRIFFI,583.0,8745.0,13,PEINTURE,0.6085594989561587,54.77035490605428,821.5553235908142
Ruban adhésif aluminium,145.0,8700.0,35,CLIMATISATION,0.151356993736952,13.622129436325679,817.3277661795407
Batterie plomb-étanche (sans entretien) 12V-25Ah/C20 avec leurs connectiques,18.0,8694.0,5,ELECTRICITE,0.018789144050104383,1.6910229645093944,816.7640918580374
Socle universelle pour Détecteur (Marque Techno Fire),129.0,8643.0,13,INCENDIE,0.13465553235908143,12.118997912317328,811.9728601252609
Vernis de bois (Marron),239.0,8604.0,11,PEINTURE,0.24947807933194155,22.453027139874738,808.3089770354906
Module d'incendie multiples entrées sorties : IO500 input / Ouput module,1.0,8500.0,1,INCENDIE,0.0010438413361169101,0.0939457202505219,798.5386221294362
Déclencheur manuel IQ8MCP (avec socle),9.0,8451.0,4,INCENDIE,0.009394572025052192,0.8455114822546972,793.9352818371607
Câble R2V 5x6mm²,120.0,8400.0,1,ELECTRICITE,0.12526096033402923,11.273486430062631,789.1440501043842
FLEXIBLE 60CM MEDHUB,21.0,8400.0,16,PLOMBERIE,0.021920668058455117,1.9728601252609606,789.1440501043842
Guide de câble DRH10GH10,1.0,8400.0,1,ELECTROMECANIQUE,0.0010438413361169101,0.0939457202505219,789.144050104384
Alimentation Electrique de Sécurité AES 24 Vcc/5 A en coffret avec batteries 24 Ah,1.0,8200.0,1,INCENDIE,0.0010438413361169101,0.0939457202505219,770.3549060542796
Batterie de démarrage 12v-50Ah-1000A avec leur connectiques (sans entretien),6.0,8172.0,3,ELECTRICITE,0.006263048016701462,0.5636743215031316,767.7244258872652
Batterie de démarrage 12v-140Ah-800A avec leur connectiques (sans entretien),6.0,8172.0,2,ELECTRICITE,0.006263048016701462,0.5636743215031316,767.7244258872652
Cable rigide R2V 3G4mm²,170.0,8160.0,3,ELECTRICITE,0.17745302713987474,15.970772442588727,766.5970772442589
Gaz R22 13 KG MEDHUB,8.0,8000.0,4,CLIMATISATION,0.008350730688935281,0.7515657620041752,751.5657620041752
Resistance préchauffage réf :187_305VAC/DC 20_28VDC (Power AC2500W/DC 7W),1.0,8000.0,1,HYDRAULIQUE,0.0010438413361169101,0.0939457202505219,751.5657620041752
Climatiseur 9000 BTU TRANE,2.0,8000.0,2,CLIMATISATION,0.0020876826722338203,0.1878914405010438,751.5657620041752
Fourniture de photocellule escalator Schindler.,1.0,8000.0,1,ELECTRICITE,0.0010438413361169101,0.0939457202505219,751.5657620041752
Indicateur de pesage Baxtran GI400i,2.0,8000.0,1,ELECTRONIQUE,0.0020876826722338203,0.1878914405010438,751.5657620041752
BAGUETTE DE SOUDURE INOX 316L 4MM,44.0,7920.0,1,MECANIQUE,0.04592901878914405,4.133611691022964,744.0501043841335
Aérosol dégripant,56.0,7840.0,9,DIVERS,0.05845511482254697,5.260960334029227,736.5344467640919
Bloc autonome d'éclairage de sécurité MEDHUB,31.0,7750.0,13,ELECTRICITE,0.032359081419624215,2.9123173277661794,728.0793319415449
"Réglette Philips 600mm, Réf: WT198C LED19S/865 PSU L600",22.0,7700.0,3,ELECTRICITE,0.022964509394572025,2.066805845511482,723.3820459290188
Panneau sandwich Standard,4.0,7600.0,2,MECANIQUE,0.0041753653444676405,0.3757828810020876,713.9874739039665
Poignée fenêtre aluminium  MEDHUB,21.0,7560.0,4,MENUISERIE,0.021920668058455117,1.9728601252609606,710.2296450939458
"Câble capotin 5G2,5 MEDHUB",150.0,7500.0,6,ELECTRICITE,0.15657620041753653,14.091858037578287,704.5929018789144
Tube multicouches RETUBE,748.0,7480.0,17,PLOMBERIE,0.7807933194154488,70.27139874739039,702.7139874739039
Collier de serrage cloture,245.0,7350.0,2,DIVERS,0.255741127348643,23.01670146137787,690.5010438413361
Parachute pour rail 52x26mm,6.0,7200.0,3,MECANIQUE,0.006263048016701462,0.5636743215031316,676.4091858037579
Parachute de sécurité ,6.0,7200.0,3,MECANIQUE,0.006263048016701462,0.5636743215031316,676.4091858037579
Robinet simple de lavabo,38.0,7182.0,35,PLOMBERIE,0.03966597077244259,3.5699373695198333,674.7181628392485
Interrupteur position 3SE5112-0CA00-1CA0,10.0,7000.0,2,ELECTROMECANIQUE,0.010438413361169102,0.9394572025052192,657.6200417536535
Bloc autonome d'éclairage de sécurité,28.0,7000.0,5,ELECTRICITE,0.029227557411273485,2.6304801670146136,657.6200417536534
Capteur numérique de marque Giropes de 40 Tonnes,2.0,7000.0,1,ELECTRONIQUE,0.0020876826722338203,0.1878914405010438,657.6200417536534
Boîtier de commande « Inekma » du quai niveleur RH11,1.0,7000.0,1,ELECTRICITE,0.0010438413361169101,0.0939457202505219,657.6200417536534
Chauffeau électrique 30L  MEDHUB,2.0,7000.0,2,PLOMBERIE,0.0020876826722338203,0.1878914405010438,657.6200417536534
Vachette de porte aluminium,97.0,6984.0,83,MENUISERIE,0.10125260960334029,9.112734864300625,656.116910229645
Cadenas passe partout clidor y compris clés,51.0,6885.0,10,DIVERS,0.05323590814196242,4.791231732776618,646.8162839248434
White spirit 5L,446.0,6690.0,187,PEINTURE,0.46555323590814196,41.89979123173278,628.4968684759916
Ventilateur axial 230 VAC,3.0,6600.0,3,ELECTRICITE,0.003131524008350731,0.2818371607515658,620.0417536534447
"Câble CR1 2*1,5 Ininflammable",300.0,6600.0,1,INCENDIE,0.31315240083507306,28.183716075156575,620.0417536534446
Mécanisme de chasse d'eau,55.0,6545.0,40,PLOMBERIE,0.05741127348643006,5.167014613778705,614.8747390396659
Lampe PROJECT 100W/12V HALOGENE,54.0,6480.0,2,ELECTRICITE,0.05636743215031315,5.073068893528184,608.768267223382
Fourniture du feu d'extrémité quai tribord vert,1.0,6325.0,1,BALISAGE MARITIME,0.0010438413361169101,0.0939457202505219,594.206680584551
Fourniture du feu d'extrémité quai blanc,1.0,6325.0,1,BALISAGE MARITIME,0.0010438413361169101,0.0939457202505219,594.206680584551
Abattant toilette anglaise standard et suspendu TMSA	,3.0,6300.0,1,PLOMBERIE,0.003131524008350731,0.2818371607515658,591.8580375782882
Bloc autonome d'éclairage,33.0,6171.0,16,ELECTRICITE,0.03444676409185804,3.1002087682672235,579.7390396659708
poulie porte Schindler,53.0,6150.0,4,ELECTRICITE,0.055323590814196244,4.979123173277662,577.7661795407098
câble électrique U1000 RO2V 3 x 4mm,150.0,6075.0,1,ELECTRICITE,0.15657620041753653,14.091858037578287,570.7202505219207
Peinture galvanisée à froid,135.0,5940.0,10,PEINTURE,0.1409185803757829,12.68267223382046,558.0375782881002
Hublot LED 24W,74.0,5920.0,13,ELECTRICITE,0.07724425887265135,6.951983298538622,556.1586638830897
Filtre à huile réf : DOOSAN 4004404-00144,6.0,5880.0,3,HYDRAULIQUE,0.006263048016701462,0.5636743215031316,552.400835073069
"Tubes fluorescent LED, 8w, 4000k",98.0,5880.0,3,ELECTRICITE,0.1022964509394572,9.206680584551147,552.4008350730688
Parachute cable,13.0,5850.0,7,MECANIQUE,0.013569937369519834,1.221294363256785,549.5824634655532
Abattant sanitaire anglaise. w,106.0,5830.0,69,PLOMBERIE,0.11064718162839249,9.958246346555324,547.7035490605429
Panneaux sandwich pour porte sectionnelle  dimensions 5000X600X40,2.0,5800.0,1,MECANIQUE,0.0020876826722338203,0.1878914405010438,544.885177453027
Projecteur LED 100W,231.0,5775.0,27,ELECTRICITE,0.24112734864300625,21.70146137787056,542.536534446764
Fourniture d'un coffret polyster (800*600*250) IP66,2.0,5600.0,1,ELECTRICITE,0.0020876826722338203,0.1878914405010438,526.0960334029227
Pressostat HP de circuit frigorifique de PAC,2.0,5568.0,2,CLIMATISATION,0.0020876826722338203,0.1878914405010438,523.089770354906
Pressostat BP de circuit frigorifique de PAC,2.0,5568.0,2,CLIMATISATION,0.0020876826722338203,0.1878914405010438,523.089770354906
Peinture de traçage rouge 25KG,5.0,5500.0,2,PEINTURE,0.005219206680584551,0.4697286012526096,516.7014613778706
Lampe LED E27 15W 6500K MEDHUB,22.0,5500.0,10,ELECTRICITE,0.022964509394572025,2.066805845511482,516.7014613778705
Fourniture de Bouton cabine.,6.0,5400.0,4,ELECTRICITE,0.006263048016701462,0.5636743215031316,507.3068893528184
Câble cuivre U1000 R2V Ø3*4 MM2,206.0,5356.0,4,ELECTRICITE,0.2150313152400835,19.352818371607516,503.1732776617954
Boitier de commande,1.0,5300.0,1,ELECTRICITE,0.0010438413361169101,0.0939457202505219,497.9123173277661
Robinet équerre MEDHUB,33.0,5280.0,15,PLOMBERIE,0.03444676409185804,3.1002087682672235,496.0334029227557
Borne sur rails 70mm,79.0,5135.0,13,ELECTRICITE,0.0824634655532359,7.421711899791231,482.41127348643
POIGNÉE PORTE BOIS (PAIR) MEDHUB,11.0,5115.0,3,MENUISERIE,0.011482254697286013,1.033402922755741,480.5323590814196
Câble U1000 R2V 3G4mm²,204.0,5100.0,15,ELECTRICITE,0.21294363256784968,19.16492693110647,479.1231732776618
Disjoncteur différentiel 4P 20A 300mA,4.0,5080.0,2,ELECTRICITE,0.0041753653444676405,0.3757828810020876,477.2442588726513
Coiffe d'acrotère lot 110 (similaire à l'existant),12.0,5040.0,1,DIVERS,0.012526096033402923,1.1273486430062631,473.4864300626305
Coiffe d'acrotère lot 71 (similaire à l'existant),12.0,5040.0,1,DIVERS,0.012526096033402923,1.1273486430062631,473.4864300626305
Coiffe d'acrotère lot 60-70 (similaire à l'existant),12.0,5040.0,1,DIVERS,0.012526096033402923,1.1273486430062631,473.4864300626305
Teinte de peinture laque noir,419.0,5028.0,97,PEINTURE,0.4373695198329854,39.363256784968684,472.3590814196242
"Câble CR1 de classe CR1/C1 2x1,5mm²- Résistant au feu""",200.0,5000.0,1,INCENDIE,0.20876826722338204,18.789144050104383,469.72860125260956
Fourniture de Miroir cabine OTIS.,1.0,5000.0,1,DIVERS,0.0010438413361169101,0.0939457202505219,469.7286012526095
Panneaux sandwich pour porte sectionnelle  dimensions 3500X600X80,2.0,5000.0,1,MECANIQUE,0.0020876826722338203,0.1878914405010438,469.7286012526095
Mécanisme  chasse d'eau pour WC standard. w,66.0,4950.0,55,PLOMBERIE,0.06889352818371608,6.200417536534447,465.03131524008353
Sèche main automatique Inox	,48.0,4800.0,10,PLOMBERIE,0.05010438413361169,4.509394572025053,450.93945720250525
Déclencheur manuel adressable (Marque Techno Fire),8.0,4800.0,2,INCENDIE,0.008350730688935281,0.7515657620041752,450.93945720250514
Robinet douche mitigeur avec accessoires MEDHUB,7.0,4760.0,6,PLOMBERIE,0.007306889352818371,0.6576200417536534,447.1816283924843
Câble U1000R2V 5G4,235.0,4700.0,6,ELECTRICITE,0.2453027139874739,22.077244258872653,441.54488517745307
Batterie M15 180Ah ,2.0,4700.0,1,ELECTRICITE,0.0020876826722338203,0.1878914405010438,441.54488517745295
Câble de détection d'incendie (044030) 2xAWG20,505.0,4545.0,9,INCENDIE,0.5271398747390397,47.44258872651357,426.98329853862214
Sélecteur à clé,10.0,4500.0,2,ELECTRICITE,0.010438413361169102,0.9394572025052192,422.75574112734864
Câble U1000R2V 5G25,300.0,4500.0,1,ELECTRICITE,0.31315240083507306,28.183716075156575,422.75574112734864
Roulements de guidage pour passerelle piétonne ZRS 00363,1.0,4500.0,1,MECANIQUE,0.0010438413361169101,0.0939457202505219,422.7557411273486
Lampe LED E27 15W  6500K	,18.0,4500.0,2,ELECTRICITE,0.018789144050104383,1.6910229645093944,422.7557411273486
Indicateur de Passage GIropes GI400i,1.0,4500.0,1,ELECTRONIQUE,0.0010438413361169101,0.0939457202505219,422.7557411273486
AEROSOL DEGRIPANT GT,32.0,4480.0,12,DIVERS,0.033402922755741124,3.006263048016701,420.87682672233814
Panel LED Rond encastré 18W 6500°K,85.0,4420.0,22,ELECTRICITE,0.08872651356993737,7.985386221294363,415.2400835073069
Sonde d'eau,4.0,4400.0,2,CLIMATISATION,0.0041753653444676405,0.3757828810020876,413.3611691022964
Thermomètre,6.0,4200.0,5,CLIMATISATION,0.006263048016701462,0.5636743215031316,394.5720250521921
"Fléxible 1/2 ""simple-simple"" 2M Ø275 BAR",7.0,4200.0,4,ELECTROMECANIQUE,0.007306889352818371,0.6576200417536534,394.57202505219203
Lampes LED B22 15W 6500K,419.0,4190.0,190,ELECTRICITE,0.4373695198329854,39.363256784968684,393.63256784968684
Câble U1000R2V 5G6,220.0,4180.0,7,ELECTRICITE,0.22964509394572025,20.66805845511482,392.6931106471816
Vase d'expansion de Circuite hydraulique de PAC,2.0,4176.0,2,CLIMATISATION,0.0020876826722338203,0.1878914405010438,392.31732776617946
Diluant 5L,294.0,4116.0,115,PEINTURE,0.3068893528183716,27.620041753653442,386.6805845511482
Contre bardage lot 110 (similaire à l'existant),12.0,4032.0,1,DIVERS,0.012526096033402923,1.1273486430062631,378.7891440501044
Contre bardage lot 71 (similaire à l'existant),12.0,4032.0,1,DIVERS,0.012526096033402923,1.1273486430062631,378.7891440501044
spot LED GU10,125.0,4000.0,44,ELECTRICITE,0.1304801670146138,11.743215031315241,375.7828810020877
Serrure CF réversible,10.0,4000.0,7,MECANIQUE,0.010438413361169102,0.9394572025052192,375.7828810020877
Diluant D44 toluene,200.0,4000.0,39,PEINTURE,0.20876826722338204,18.789144050104383,375.78288100208766
Barre anti panique,200.0,4000.0,4,MENUISERIE,0.20876826722338204,18.789144050104383,375.78288100208766
Moteur de quai niveleur,2.0,4000.0,2,ELECTROMECANIQUE,0.0020876826722338203,0.1878914405010438,375.7828810020876
Batterie plomb-étanche (sans entretien) 12V-12Ah/C20 avec leurs connectiques,19.0,3971.0,1,ELECTRICITE,0.019832985386221295,1.7849686847599167,373.0584551148226
huile 80W-90,80.0,3960.0,4,HYDRAULIQUE,0.08350730688935282,7.515657620041754,372.0250521920668
Siphon de sol  inox 15*15,33.0,3960.0,16,PLOMBERIE,0.03444676409185804,3.1002087682672235,372.0250521920668
Tige fileté Ø20mm,120.0,3960.0,3,DIVERS,0.12526096033402923,11.273486430062631,372.0250521920668
Réglette LED 2x18W Etanche,157.0,3925.0,12,ELECTRICITE,0.1638830897703549,14.749478079331942,368.7369519832985
Bobine d'électrovanne 230V électrique d'électrovanne,8.0,3920.0,4,ELECTROMECANIQUE,0.008350730688935281,0.7515657620041752,368.26722338204587
Culotte 110 CPVC HP,45.0,3915.0,3,PLOMBERIE,0.04697286012526096,4.227557411273486,367.79749478079333
Poignée Modèle CF anti-accrochage,13.0,3900.0,8,MECANIQUE,0.013569937369519834,1.221294363256785,366.3883089770355
Armature LED 240W MEDHUB,193.0,3860.0,8,ELECTRICITE,0.20146137787056367,18.13152400835073,362.63048016701464
Flow switch de circuit hydraulique de PAC,2.0,3828.0,1,CLIMATISATION,0.0020876826722338203,0.1878914405010438,359.6242171189979
Cable armé cuivre 4*10,80.0,3760.0,1,ELECTRICITE,0.08350730688935282,7.515657620041754,353.23590814196245
Siphon de sol  inox 20*20,25.0,3750.0,15,PLOMBERIE,0.026096033402922755,2.348643006263048,352.2964509394572
COND DE PORTAIL,25.0,3750.0,4,DIVERS,0.026096033402922755,2.348643006263048,352.2964509394572
Siphon de sol anti-odeur inoxydable,62.0,3720.0,6,PLOMBERIE,0.06471816283924843,5.824634655532359,349.4780793319415
Huile moteur réf : (15W40 TOTAL),35.0,3675.0,1,HYDRAULIQUE,0.03653444676409186,3.288100208768267,345.25052192066806
Douille GU10 MEDHUB,43.0,3655.0,14,ELECTRICITE,0.04488517745302714,4.039665970772443,343.3716075156577
Poignée porte aluminium blanc en pair. w,104.0,3640.0,94,MENUISERIE,0.10855949895615867,9.77035490605428,341.96242171189976
Cadenas pour vanne poste de contrôle (similaire à l'existant),6.0,3612.0,1,INCENDIE,0.006263048016701462,0.5636743215031316,339.3319415448852
Roue de portail - Forte charge 400KG,6.0,3600.0,3,DIVERS,0.006263048016701462,0.5636743215031316,338.2045929018789
T 110 PVC HP,45.0,3600.0,4,PLOMBERIE,0.04697286012526096,4.227557411273486,338.2045929018789
Boite de jonction pour capteur numérique de 60T,2.0,3600.0,1,ELECTRICITE,0.0020876826722338203,0.1878914405010438,338.20459290187887
Serrure CLIDOR,22.0,3564.0,22,MENUISERIE,0.022964509394572025,2.066805845511482,334.8225469728601
Filtre à huile réf : FPT 500086363,4.0,3560.0,2,HYDRAULIQUE,0.0041753653444676405,0.3757828810020876,334.446764091858
Tube 110 PVC HP,101.5,3552.5,21,PLOMBERIE,0.10594989561586639,9.535490605427976,333.74217118997916
Cable rigide R2V 5G4mm²,60.0,3540.0,1,ELECTRICITE,0.06263048016701461,5.6367432150313155,332.56784968684764
Fourniture de Switch fin de course à galet,10.0,3500.0,5,MECANIQUE,0.010438413361169102,0.9394572025052192,328.81002087682674
Split 12000 complet,7.0,3500.0,7,CLIMATISATION,0.007306889352818371,0.6576200417536534,328.8100208768267
Split 18000 complet,7.0,3500.0,2,CLIMATISATION,0.007306889352818371,0.6576200417536534,328.8100208768267
Robinet de service,59.0,3481.0,41,PLOMBERIE,0.061586638830897704,5.542797494780793,327.0250521920668
Disjoncteur 2P 16A,55.0,3410.0,55,ELECTRICITE,0.05741127348643006,5.167014613778705,320.3549060542797
Tube gorgé double paroi de diamètre 110mm,200.0,3400.0,1,ELECTRICITE,0.20876826722338204,18.789144050104383,319.4154488517745
Boite a boutons poussoire (3 bouton)  de commande de porte sectionnelle,5.0,3385.0,5,ELECTRICITE,0.005219206680584551,0.4697286012526096,318.0062630480167
Tube LED (T8) 9W 6500K	,28.0,3360.0,2,ELECTRICITE,0.029227557411273485,2.6304801670146136,315.65762004175366
Connecteur de raccordement électrique d'électrovanne ,12.0,3360.0,4,ELECTROMECANIQUE,0.012526096033402923,1.1273486430062631,315.65762004175366
"Cylindre de serrure TC6 (7,5CM)",14.0,3360.0,6,DIVERS,0.014613778705636743,1.3152400835073068,315.65762004175366
Coiffe d'acrotère lot 120 (similaire à l'existant),8.0,3360.0,1,DIVERS,0.008350730688935281,0.7515657620041752,315.6576200417536
Colle PVC. w,32.0,3360.0,17,PLOMBERIE,0.033402922755741124,3.006263048016701,315.6576200417536
Siphon de sol  inox 10*10,35.0,3325.0,19,PLOMBERIE,0.03653444676409186,3.288100208768267,312.36951983298536
"Colliers de serrage 7,6X340mm 100PCS",83.0,3320.0,34,ELECTRICITE,0.08663883089770355,7.797494780793319,311.89979123173276
Starters S2 / 22w,414.0,3312.0,92,ELECTRICITE,0.4321503131524008,38.89352818371607,311.1482254697286
Tube 40 PEHD HP,330.0,3300.0,6,PLOMBERIE,0.3444676409185804,31.002087682672236,310.0208768267224
Poignée aluminium (Pair)	,5.0,3250.0,3,MENUISERIE,0.005219206680584551,0.4697286012526096,305.3235908141963
"Colliers de serrage 3,6X300mm 100PCS",81.0,3240.0,17,DIVERS,0.08455114822546973,7.609603340292276,304.384133611691
Pressostat mécanique de 16 BAR de marque DANFOSS.,2.0,3240.0,1,HYDRAULIQUE,0.0020876826722338203,0.1878914405010438,304.38413361169097
Graisse à base de lithium EP CL 2,34.0,3230.0,7,ELECTROMECANIQUE,0.03549060542797495,3.1941544885177455,303.44467640918583
Robinet de service de 1/2 pouce en laiton. w,99.0,3217.5,63,PLOMBERIE,0.10334029227557412,9.300626304801671,302.2703549060543
Tube gorgé double paroi de diamétre 70mm,400.0,3200.0,2,ELECTRICITE,0.4175365344467641,37.578288100208766,300.62630480167013
"Lampe LED PLC 8,5W 6500K",351.0,3159.0,14,ELECTRICITE,0.3663883089770355,32.9749478079332,296.77453027139876
Flexible gasoil 3/8 F/F simple coude 90° (7m),5.0,3150.0,3,HYDRAULIQUE,0.005219206680584551,0.4697286012526096,295.92901878914404
Bouteille de fluide frigorigène R 410 A,2.0,3132.0,2,CLIMATISATION,0.0020876826722338203,0.1878914405010438,294.2379958246346
Revêtement PVC,313.0,3130.0,9,MENUISERIE,0.3267223382045929,29.40501043841336,294.0501043841336
Batterie de démarrage 12v-75Ah-720A avec leur connectiques (sans entretien),4.0,3096.0,2,ELECTRICITE,0.0041753653444676405,0.3757828810020876,290.8559498956158
Mastic acrylique transparent  élastique,22.0,3080.0,8,DIVERS,0.022964509394572025,2.066805845511482,289.3528183716075
Panel LED 60X60 40W 6000K MEDHUB,122.0,3050.0,20,ELECTRICITE,0.12734864300626306,11.461377870563675,286.53444676409185
Câble U1000R2V 5G4 MEDHUB,150.0,3000.0,4,ELECTRICITE,0.15657620041753653,14.091858037578287,281.83716075156576
"Câble U1000R2V 5G2,5  MEDHUB",150.0,3000.0,4,ELECTRICITE,0.15657620041753653,14.091858037578287,281.83716075156576
"Bras de Barriére rond 3,25m",1.0,3000.0,1,DIVERS,0.0010438413361169101,0.0939457202505219,281.8371607515657
Fourniture de main-courant courante cabine OTIS,1.0,3000.0,1,DIVERS,0.0010438413361169101,0.0939457202505219,281.8371607515657
roulement GE 110 XT 2RS/X-LS pour vérin rampe mobile,2.0,3000.0,1,MECANIQUE,0.0020876826722338203,0.1878914405010438,281.8371607515657
Tube 75 PVC HP,58.0,2900.0,9,PLOMBERIE,0.060542797494780795,5.448851774530271,272.4425887265136
Anodes sacrificielles boulonnées en Zinc type NZ3,2.0,2900.0,1,ELECTRONIQUE,0.0020876826722338203,0.1878914405010438,272.4425887265135
Douchette,33.0,2838.0,30,PLOMBERIE,0.03444676409185804,3.1002087682672235,266.6179540709812
Coude 75 45 PVC HP,83.0,2822.0,9,PLOMBERIE,0.08663883089770355,7.797494780793319,265.11482254697285
Panel LED carré encastré 18W,54.0,2808.0,10,ELECTRICITE,0.05636743215031315,5.073068893528184,263.7995824634656
"câble électrique U1000 R2V 5G2,5mm",100.0,2800.0,1,ELECTRICITE,0.10438413361169102,9.394572025052192,263.0480167014614
Panneau inférieur avec profilé et joint bas 3500/600 mm,1.0,2800.0,1,MECANIQUE,0.0010438413361169101,0.0939457202505219,263.04801670146134
Distributeur savon liquide INOX TMSA,4.0,2800.0,3,PLOMBERIE,0.0041753653444676405,0.3757828810020876,263.04801670146134
Disjoncteur différentiel 4P 25A 300mA,2.0,2800.0,1,ELECTRICITE,0.0020876826722338203,0.1878914405010438,263.04801670146134
Poignée porte bois (Pair),6.0,2790.0,2,MENUISERIE,0.006263048016701462,0.5636743215031316,262.1085594989562
Huile Hydraulique pour rampe mobile,35.0,2730.0,7,HYDRAULIQUE,0.03653444676409186,3.288100208768267,256.47181628392485
"Faux plafond suspandu 1,350*300MM*19MM",34.0,2720.0,4,DIVERS,0.03549060542797495,3.1941544885177455,255.53235908141966
Lampe LED PLL 25W,300.0,2700.0,1,ELECTRICITE,0.31315240083507306,28.183716075156575,253.65344467640918
Panneau de porte sectionelle,1.0,2660.0,1,MECANIQUE,0.0010438413361169101,0.0939457202505219,249.89561586638825
Câble galvanisé,220.0,2640.0,1,MECANIQUE,0.22964509394572025,20.66805845511482,248.01670146137786
Sable de mer 50 KG,88.0,2640.0,25,CONSTRUCTION,0.0918580375782881,8.267223382045929,248.01670146137786
Ferme porte avec bras,129.0,2580.0,6,MENUISERIE,0.13465553235908143,12.118997912317328,242.37995824634655
"Cuivre avec arma Flex 1/2, 1/4 rouleau 20m",51.0,2550.0,9,CLIMATISATION,0.05323590814196242,4.791231732776618,239.5615866388309
Scotch de marquage au sol,362.0,2534.0,22,DIVERS,0.3778705636743215,34.00835073068893,238.05845511482252
Poignée fenêtre  aluminium blanc. w,112.0,2520.0,8,MENUISERIE,0.11691022964509394,10.521920668058454,236.74321503131523
